date,drawdown_scalar,target_vol_scalar,trend_scalar,final_risk_scalar,gross_exposure,risky_exposure,defensive_cash_proxy_exposure,turnover_cap_bound,reentry_state
2023-01-12,1.0,1.0,0.95,0.95,0.9718531557022925,0.9718531557022925,0.02814684429770753,True,0.95
2023-01-13,1.0,1.0,0.95,0.95,0.9718531557022925,0.9718531557022925,0.02814684429770753,True,0.95
2023-01-16,1.0,1.0,0.95,0.95,0.9718531557022925,0.9718531557022925,0.02814684429770753,True,0.95
2023-01-17,1.0,1.0,0.95,0.95,0.9718531557022925,0.9718531557022925,0.02814684429770753,True,0.95
2023-01-18,1.0,1.0,0.95,0.95,0.9718531557022925,0.9718531557022925,0.02814684429770753,True,0.95
2023-01-19,1.0,1.0,0.95,0.95,0.9718531557022925,0.9718531557022925,0.02814684429770753,True,0.95
2023-01-20,1.0,1.0,0.95,0.95,0.9718531557022925,0.9718531557022925,0.02814684429770753,True,0.95
2023-01-31,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-01,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-02,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-03,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-06,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-07,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-08,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-09,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-10,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-13,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-14,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-15,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-16,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-17,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-20,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-21,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-22,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-23,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-24,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-27,1.0,1.0,0.95,0.95,0.9500000000034315,0.9500000000034315,0.049999999996568456,False,0.95
2023-02-28,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-01,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-02,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-03,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-06,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-07,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-08,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-09,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-10,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-13,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-14,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-15,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-16,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-17,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-20,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-21,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-22,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-23,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-24,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-27,1.0,1.0,0.95,0.95,0.950000054880054,0.950000054880054,0.04999994511994599,False,0.95
2023-03-31,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-03,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-04,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-06,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-07,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-10,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-11,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-12,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-13,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-14,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-17,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-18,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-19,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-20,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-21,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-24,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-25,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-26,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-27,1.0,1.0,0.95,0.95,1.0153780559634575,1.0153780559634575,0.0,True,0.95
2023-04-28,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-04,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-05,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-08,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-09,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-10,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-11,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-12,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-15,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-16,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-17,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-18,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-19,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-22,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-23,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-24,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-25,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-26,1.0,1.0,0.95,0.95,0.979590024229133,0.979590024229133,0.020409975770867006,True,0.95
2023-05-31,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-01,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-02,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-05,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-06,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-07,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-08,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-09,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-12,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-13,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-14,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-15,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-16,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-19,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-20,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-21,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-26,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-27,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-28,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-29,1.0,1.0,0.95,0.95,0.969007529087399,0.969007529087399,0.030992470912601044,True,0.95
2023-06-30,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-03,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-04,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-05,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-06,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-07,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-10,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-11,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-12,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-13,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-14,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-17,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-18,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-19,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-20,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-21,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-24,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-25,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-26,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-27,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-28,1.0,1.0,0.95,0.95,1.0573353512465098,1.0573353512465098,0.0,True,0.95
2023-07-31,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-01,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-02,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-03,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-04,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-07,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-08,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-09,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-10,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-11,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-14,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-15,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-16,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-17,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-18,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-21,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-22,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-23,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-24,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-25,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-28,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-29,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-30,1.0,1.0,0.95,0.95,0.9907989633721366,0.9907989633721366,0.009201036627863424,True,0.95
2023-08-31,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-01,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-04,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-05,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-06,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-07,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-08,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-11,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-12,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-13,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-14,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-15,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-18,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-19,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-20,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-21,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-22,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-25,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-26,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-27,1.0,1.0,0.95,0.95,0.9926579072095595,0.9926579072095595,0.007342092790440513,True,0.95
2023-09-28,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-09,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-10,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-11,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-12,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-13,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-16,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-17,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-18,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-19,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-20,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-23,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-24,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-25,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-26,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-27,1.0,1.0,0.95,0.95,0.9817601641986384,0.9817601641986384,0.01823983580136157,True,0.95
2023-10-31,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-01,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-02,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-03,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-06,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-07,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-08,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-09,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-10,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-13,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-14,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-15,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-16,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-17,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-20,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-21,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-22,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-23,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-24,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-27,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-28,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-29,1.0,1.0,0.95,0.95,0.9649171331666916,0.9649171331666916,0.03508286683330841,True,0.95
2023-11-30,1.0,1.0,0.95,0.95,0.9626723719546737,0.9626723719546737,0.0373276280453263,False,0.95
2023-12-01,1.0,1.0,0.95,0.95,0.9626723719546737,0.9626723719546737,0.0373276280453263,False,0.95
2023-12-04,1.0,1.0,0.95,0.95,0.9626723719546737,0.9626723719546737,0.0373276280453263,False,0.95
2023-12-05,1.0,1.0,0.95,0.95,0.9626723719546737,0.9626723719546737,0.0373276280453263,False,0.95
2023-12-06,1.0,1.0,0.95,0.95,0.9626723719546737,0.9626723719546737,0.0373276280453263,False,0.95
2023-12-07,1.0,1.0,0.95,0.95,0.9626723719546737,0.9626723719546737,0.0373276280453263,False,0.95
